name,current price,original price,link,rating
Nestle- Cerelac 3 Fruits & Wheat Baby Food (350G),740,Rs. 770,//www.daraz.pk/products/nestle-cerelac-3-fruits-wheat-baby-food-350g-i2035735-s10055676.html?search=1,4.9/5
Baby Food - NESTLE CERELAC - Rice 175g,393,Rs. 400,//www.daraz.pk/products/baby-food-nestle-cerelac-rice-175g-i2035734-s10055675.html?search=1,4.9/5
4 In 1 Pacifier/Fresh Fruit Food Baby Feeding Safe Fruit Feeder Crawling  Pads For Knee U Style Tooth Brush And Silicone  Spoon Feeding Bottle Feeding For Infant Supplies,549,Rs. 999,//www.daraz.pk/products/1-4-u-i438653221-s2306484381.html?search=1,4.6/5
Baby Food - NESTLE CERELAC Yellow Fruits 175g,448,Rs. 460,//www.daraz.pk/products/baby-food-nestle-cerelac-yellow-fruits-175g-i2856036-s11686837.html?search=1,4.9/5
White Automatic Toothpaste Dispenser set with Wall Mounted Toothbrush Holder and Toothpaste Squeezer,325,Rs. 799,//www.daraz.pk/products/white-automatic-toothpaste-dispenser-set-with-wall-mounted-toothbrush-holder-and-toothpaste-squeezer-i235736026-s1454868275.html?search=1,3.6/5
Bathroom Storage Hanging Shelf Wall Mounted With Hooks by Empire Collections,398,"Rs. 1,200",//www.daraz.pk/products/-i433204121-s2075739214.html?search=1,4.4/5
180kgs Human Body Weighing Accurate Health Scale Portable Home Intelligent Electronic Scale Fashion Weight Scale Analog Digital Weight Machine  for Body Machine Digital Weight Machine Body weight Machine,"1,486","Rs. 1,900",//www.daraz.pk/products/180kgs-human-body-weighing-accurate-health-scale-portable-home-intelligent-electronic-scale-fashion-weight-scale-analog-digital-weight-machine-for-body-machine-digital-weight-machine-body-weight-machine-i341911113-s1759678874.html?search=1,4.4/5
Bathroom kitchen Punch Corner Frame 2 Pcs /1 Pcs Shower Shelf Wrought Iron Shampoo Storage Rack Holder toilet rack bathroom accessories,399,Rs. 700,//www.daraz.pk/products/-i433292398-s2326698819.html?search=1,4.5/5
Set of Toothpaste Dispenser & Toothbrush Holder - White Automatic Toothpaste Dispenser and Toothbrush Holder Set  Wall Mounted Toothpaste Dispenser with 5 Toothbrush Holder Set  Toothpaste Squeezing Machine  Toothpaste Dispenser Tooth brush Holder set,342,Rs. 620,//www.daraz.pk/products/5-i216205058-s1425889844.html?search=1,4.3/5
Vanity Mirror Light LED Bulbs for Makeup Mirror Stand (10 Bulbs),"1,249","Rs. 2,500",//www.daraz.pk/products/led-10-i227310940-s1447040647.html?search=1,4.6/5
CALLISTA 1PCS LED Solar Wall Lamp Outdoor Waterproof Up And Down Luminous Lighting Garden Decoration Solar Lights Stairs Fence Sunlight Lamp,"1,049","Rs. 1,999",//www.daraz.pk/products/1-led-i454032866-s2153053765.html?search=1,4.2/5
Donut vase 2peice set,"1,499",,//www.daraz.pk/products/2-i444366793-s2132969035.html?search=1,4.7/5
Modern Unique Fake Book Decoration | Model Book | Faux Books | Dummy Books | Home Decorative Books | Storage Books,570,Rs. 595,//www.daraz.pk/products/modern-unique-fake-book-decoration-model-book-faux-books-dummy-books-home-decorative-books-storage-books-i482617890-s2368313163.html?search=1,4.6/5
"Set of 8 Rope Hanging Small Glass Bud Vase Without Money Plants , Decorative Hanging Glass Plants Vases, Small Hanging Vases, Home Decor, Housewarming Gift",259,Rs. 350,//www.daraz.pk/products/8-i426926963-s2118597488.html?search=1,4.6/5
1/5/10pcs Steel Wire Dishcloths Kitchen Cleaning Cloth Non-stick Oil Dish Clean Towel Washing Rags Household Cleaning Accessories,315,Rs. 480,//www.daraz.pk/products/-i456859633-s2164016113.html?search=1,4/5
Sp Oil Sprayer  Stainless Steel  Transparent Glass  Spray Bottle,349,Rs. 999,//www.daraz.pk/products/sp-oil-sprayer-stainless-steel-transparent-glass-spray-bottle-i400672872-s1935103236.html?search=1,4.8/5
FRAKIN Cell Operated Coffee Beater coffee machine coffee beater electric coffee shake coffee Foam Coffee Beater Coffee Milk Drink Whisk Mixer Handheld coffee beater lassi egg mixer and whisker milk frother,242,Rs. 450,//www.daraz.pk/products/-i369037663-s1828788498.html?search=1,3.9/5
"Chopsticks Pair of 1, 2, 5, 10 - Bamboo Chopsticks - Chinese Chopsticks - Chinese Bamboo Chopsticks - Reusable Chopsticks - Wood Chopsticks - Chopsticks for Kids - Washable Chopsticks",126,Rs. 500,//www.daraz.pk/products/1-2-5-10-i461800194-s2186363828.html?search=1,4.3/5
Vinegar Pourer Dispenser Glass Bottle Kitchen Cooking 500ML,682,Rs. 999,//www.daraz.pk/products/500-i171492017-s1342292092.html?search=1,4.7/5
Hanger - Plastic Hanger - Hangers Large Pack of 12 (Random Designs and Colors)),246,Rs. 650,//www.daraz.pk/products/12-i272202838-s1485263811.html?search=1,4.6/5
SHERICE 3 in 1 Cleaning Brush with Wiper | Double Sided Scrubber Brush with Long Handle,560,,//www.daraz.pk/products/3-in-1-cleaning-brush-for-floor-tiles-with-long-handle-floor-scrubbing-brush-with-wiper-2-in-1-floor-brush-scrubber-with-soft-scraper-dust-pan-scrub-cleaner-brushes-for-floor-mop-ceiling-fan-for-walls-home-kitchen-bathrooms-cleaning-accessories-i417509908-s2069509252.html?search=1,4.3/5
Garbage Bags For Dustbin Pack Of 35 18 X 24 Inch / Garbage Bag Art # SS-GB1 (1 Roll / 35 Bags),199,Rs. 398,//www.daraz.pk/products/garbage-bags-for-dustbin-pack-of-35-18-x-24-inch-garbage-bag-art-ss-gb1-1-roll-35-bags-i189480947-s1379592253.html?search=1,4.6/5
"Magic Reusable Silicone Gloves with Wash Scrubber, Heat Resistant, for Cleaning, Household, Dish Washing, Washing the Car",331,Rs. 600,//www.daraz.pk/products/-i129169159-s1288773846.html?search=1,4.5/5
"SP Dealz  Cleaning Mops Floor Mop Microfiber Mop X-Type Flat Floor Mop with Replace Cloth Heads 360 Degree Squeeze Mop Hand-Free Wash Household Lazy Mop Home Cleaning Tool, for Kitchen, Hall",989,"Rs. 4,999",//www.daraz.pk/products/sp-x-360-i463939338-s2194158571.html?search=1,4.5/5
Metallic Adjustable Water Pressure Washer Nozzle for Car Wash and Garden Watering With Multiple Spray Modes /Car Washer/ Water Sprinkler,435,"Rs. 1,000",//www.daraz.pk/products/-i426292330-s2023652830.html?search=1,4.2/5
Garden Hose Pipe 100ft / 50ft Magic Hose Expandable Stretch Hosepipe with Spray_Gun,"1,275",,//www.daraz.pk/products/magic-hose-pipe-100ft-50ft-garden-hose-water-pipe-only-for-pressure-washer-water-spray-pipe_gun-nozzle-tap-connector-clamp-shower-hose-pipe-holder-reel-50ft-150ft-200ft-feet-i155768466-s2321577991.html?search=1,4.5/5
"TD Steel High Pressure Water Spray Gun Nozzle for 1/2"" Hose Pipe, Car & Bike Wash Nozzle Spray Water Gun, Water Jet Hose Nozzles Pipe For Gardening, Window Cleaning Water Nozzle, Gardening water sprayer gun (Without Hose)",699,"Rs. 2,000",//www.daraz.pk/products/td-steel-high-pressure-water-spray-gun-nozzle-for-12-hose-pipe-car-bike-wash-nozzle-spray-water-gun-water-jet-hose-nozzles-pipe-for-gardening-window-cleaning-water-nozzle-gardening-water-sprayer-gun-without-hose-i429102784-s2040106859.html?search=1,4.2/5
High-pressure Washing Machine Watering House and Car Cleaning Sprayer Nozzle Podazz,813,"Rs. 1,192",//www.daraz.pk/products/high-pressure-washing-machine-watering-house-and-car-cleaning-sprayer-nozzle-podazz-i391206747-s1914961113.html?search=1,3.8/5
Super Strong Waterproof Tape for Water tank Roof Pipe Repair Tape Butyl ( Blue Color 🔵) Waterproof Sealing Tape Super Strong Waterproof Butyl Tape Repair Adhesive Leak Proof Tape Super Sticky Aluminum Foil Butyl Rubber Tape Self Adhesive,366,Rs. 370,//www.daraz.pk/products/super-strong-waterproof-tape-for-water-tank-roof-pipe-repair-tape-butyl-blue-color-waterproof-sealing-tape-super-strong-waterproof-butyl-tape-repair-adhesive-leak-proof-tape-super-sticky-aluminum-foil-butyl-rubber-tape-self-adhesive-i415722189-s2053382659.html?search=1,4/5
"Pack of 50  Biodigradable Eid mubarak Plastic Shopping Bags, Eid Mubarak plastic shoppers , Bags for EID, bags for meat , two sizes available Eid Mubarak plastic shopper",229,Rs. 344,//www.daraz.pk/products/pack-of-50-biodigradable-eid-mubarak-plastic-shopping-bags-eid-mubarak-plastic-shoppers-bags-for-eid-bags-for-meat-two-sizes-available-eid-mubarak-plastic-shopper-i220944137-s2287997765.html?search=1,4.8/5
1kg & 2kg Eid Mubarak Shopper Plastic Shopping Bags Bakra Eid Shoppers Meat Shoppers,399,,//www.daraz.pk/products/1kg-2kg-i221500464-s1436282614.html?search=1,4.8/5
"Pack of 50 Biodigradable Eid mubarak Plastic Shopping Bags, Eid Mubarak plastic shoppers , Bags for EID, bags for meat , three sizes available Eid Mubarak plastic shopper",226,Rs. 299,//www.daraz.pk/products/50-biodigrad-i421966908-s2398333525.html?search=1,4.8/5
Double Tip Markers ( 2in 1 ) - Set Of 24 - 36 - 48 - 60 - 80,"1,325",,//www.daraz.pk/products/double-tip-markers-2in-1-set-of-24-36-48-60-80-i476810032-s2237580444.html?search=1,4.4/5
"Pack of 50 Biodigradable Eid mubarak Plastic Shopping Bags, Eid Mubarak plastic shoppers , Bags for EID, bags for meat , three sizes available Eid Mubarak plastic shopper",226,Rs. 299,//www.daraz.pk/products/50-biodigrad-i423298366-s2411764939.html?search=1,4.5/5
Mdcat Book 2024 MCQs [According to Syllabus] - MDCAT FOR PERPETRATION OF MEDICAL COLLEGE  Book 2024 MCQs [According to Syllabus],"1,099","Rs. 1,599",//www.daraz.pk/products/mdcat-book-2024-mcqs-according-to-syllabus-mdcat-for-perpetration-of-medical-college-book-2023-mcqs-according-to-syllabus-i222426774-s1438440764.html?search=1,4.5/5
Star Entry Test Series 13000+ Practice MCQs PMC MDCAT NUMS FMDC Latest 2023 Edition,"2,995","Rs. 4,500",//www.daraz.pk/products/star-entry-test-series-13000-practice-mcqs-pmc-mdcat-nums-fmdc-latest-2023-edition-i427258917-s2027851883.html?search=1,4.5/5
Latest Advanced PPSC Model Papers MCQs Book by M Imtiaz Shahid,"1,150","Rs. 1,300",//www.daraz.pk/products/latest-advanced-ppsc-model-papers-mcqs-book-by-m-imtiaz-shahid-i171464565-s2402951784.html?search=1,4.8/5
Kips Entry Tests Series Physics Prep Book For MDCAT,949,,//www.daraz.pk/products/kips-entry-tests-series-physics-prep-book-for-mdcat-i414182095-s1972745947.html?search=1,4.4/5
Kips Entry Tests Series Biology prep Book For MDCAT,"1,149",,//www.daraz.pk/products/kips-entry-tests-series-biology-prep-book-for-mdcat-i414255255-s1972850681.html?search=1,4.7/5
66W Super Fast Charge Power Bank 20000mAh - Power Bank - Fast Charging Power Bank - power bank 20000 mah fast charging - power bank 40000 mah - Best Portable Charger for Fast Charging And Portable External Battery Fast Charger For Samsung Xiaomi Auxiliary,"2,999",,//www.daraz.pk/products/66-20000-mah-20000-mah-40000-mah-i460716757-s2183820633.html?search=1,4.5/5
"120W / 6A Super Fast Charging Micro USB , Type C & IOS iphone Cable for All Smartphones | 120W 6A Micro Cable Fast Charging Cable for Mobile Phones & Power Banks",155,Rs. 499,//www.daraz.pk/products/120-6-usb-c-i422866855-s2082295963.html?search=1,4.3/5
66W Super Fast Charge Power Bank 20000mAh Portable External Battery Fast Charger For iPhone Samsung Xiaomi Auxiliary Battery New 66W Super Fast Charge Power Bank 20000mAh Portable External Battery Fast Charger For iPhone Samsung Xiaomi Auxiliary Batt,"2,499","Rs. 4,499",//www.daraz.pk/products/66-66-i432407662-s2127188490.html?search=1,4.5/5
Transparent Power Bank 20000MAH 66Watt Fast Charging Portable,"2,349","Rs. 3,000",//www.daraz.pk/products/20000mah-66-i488735310-s2298915516.html?search=1,4.8/5
20 Pcs Smart Cable Organizer Desktop and Workstation Cord Clips Management Holder Data Telephone Line Cable Winder Sleeve Self Adhesive Crystal Design Cable Clips Organizer Desk Mouse Cable Wire Holder,175,Rs. 299,//www.daraz.pk/products/20-pcs-smart-cable-organizer-desktop-and-workstation-cord-clips-management-holder-data-telephone-line-cable-winder-sleeve-self-adhesive-crystal-design-cable-clips-organizer-desk-mouse-cable-wire-holder-i234456210-s1453522726.html?search=1,4.3/5
Ergonomic Dual Mode Bluetooth Feature and Rechargeable Battery Gaming RGB USB Wireless Optical Mouse With Silent Clicks Black 2.4G Backlit Mice - Plug and Play,749,"Rs. 2,219",//www.daraz.pk/products/rgb-usb-24-i464528147-s2194972729.html?search=1,4.7/5
Gaming Mouse RGB - 7 Light Breathing - USB Wired Gaming Mouse For PC & Laptop - No Side Button,345,Rs. 899,//www.daraz.pk/products/rgb-7-usb-i440779980-s2173311953.html?search=1,4.6/5
"3200 dpi Mechanical Gaming Mouse RGB with 6 Programmable Buttons - 7 LED Light Wired USB Optical Mouse with Side Buttons & Mouse Pad for PC, Laptop, Computer, Gaming, Pubg Mobile - Black, White & Pink - FunBug","1,297","Rs. 3,800",//www.daraz.pk/products/3200-dpi-rgb-7-7-led-usb-pubg-i130573814-s2282855263.html?search=1,4.7/5
"PRO Gaming Mouse RGB with 3200dpi - Breathing LED USB Wired Optical Computer Mouse with 6 Buttons & Braided Wire including Side Buttons - Mouse with FREE Mouse Pad for laptop, PC, Gaming & Office Use by FunBug","1,397","Rs. 4,500",//www.daraz.pk/products/rgb-3200dpi-led-usb-i377551877-s2223778969.html?search=1,4.7/5
"Premium Gaming Mouse RGB with 6 Buttons & 3200dpi Control - Breathing LED Light Optical Mouse with MousePad  & Side Buttons for PC, Gaming, Laptop, Pubg, Mobile - By FunBug","1,897","Rs. 4,500",//www.daraz.pk/products/rgb-3200dpi-6-led-pubg-i201116087-s2444683473.html?search=1,4.7/5
Multifunctional High Quality Green Laser Pointer Pen With Safety Lock Key for Presentation,957,"Rs. 1,599",//www.daraz.pk/products/multifunctional-high-quality-green-laser-pointer-pen-with-safety-lock-key-for-presentation-i431146895-s2306131704.html?search=1,4/5
Rechargeable Powerful Green Laser Pointer- Multiple Task,"1,199","Rs. 2,499",//www.daraz.pk/products/303-i457444280-s2165494341.html?search=1,3.9/5
"Green LASER LIGHT, Green Laser Pointer With Rechargeable Battery, Charger and Lock Key for teaching, astronomy, pets training, tour guide, classroom and business presentations, outdoor activities, travel",970,Rs. 980,//www.daraz.pk/products/-i489597938-s2308983537.html?search=1,2.2/5
Intelligent Voltage Protector Electricity Switch for Household Protections Muhafiz from Low and High Voltage / Fluctuation for Fridge LED TV Laptop Charger Mobile Charger Guard B-2188,549,Rs. 890,//www.daraz.pk/products/b-2188-i452536694-s2149156808.html?search=1,4.5/5
"Laser Pointer Pen Green Light, Presentation Tool with Durable and Portable Design",699,"Rs. 1,299",//www.daraz.pk/products/laser-pointer-pen-green-light-presentation-tool-with-durable-and-portable-design-i432545676-s2064894553.html?search=1,4.2/5
Josh Delay Bulk Dispenser (12 x 3s),"1,119","Rs. 2,400",//www.daraz.pk/products/12x3-i468827210-s2241946336.html?search=1,4.8/5
A9 Mini Wifi Camera 1080p Full HD Wireless Ip Camera,"1,009","Rs. 1,999",//www.daraz.pk/products/a9-wifi-1080p-hd-ip-i500424394-s2391767751.html?search=1,3.6/5
HD Wireless Camera With Voice and Video Monitoring HD,"1,285",,//www.daraz.pk/products/hd-hd-i444092704-s2132503119.html?search=1,2.9/5
Instax Mini Twin Pack 10/20 Sheets Instant Film For Mini 7 8 9 11 12,"2,963","Rs. 4,000",//www.daraz.pk/products/instax-mini-twin-pack-1020-sheets-instant-film-for-mini-7-8-9-11-12-i472589377-s2230646785.html?search=1,4.6/5
Wireless WiFi A9 Camera Magnet Hidden Mini Camera 1080P HD,"1,299",,//www.daraz.pk/products/wifi-a9-hd-1080p-i487896676-s2294113656.html?search=1,3.6/5
Easy Push Square Silicone Ice Cubes Tray,396,Rs. 700,//www.daraz.pk/products/-i468845714-s2214315649.html?search=1,4/5
Silicone Ice cube Tray with plastic lid Easy Push Pop Out Square Silicon Ice Cubes Tray Honeycomb Shape Silicone Ice Cube Molds with Lid Flexible Tray for Refrigerator And Freezer,399,Rs. 599,//www.daraz.pk/products/1-i487886619-s2293942314.html?search=1,4.7/5
Pop up Ice tray Long Cylindeical Silicone Stick Shaped Mould Chocolate Jelly Ice Cubes Summer,299,,//www.daraz.pk/products/-i486494402-s2284389421.html?search=1,4.4/5
"1 Pc, Ice Cube Tray Plastic Ice Tray Sakura Star Heart Shape",139,,//www.daraz.pk/products/1-pc-ice-cube-tray-plastic-ice-tray-sakura-star-heart-shape-i429199445-s2380881129.html?search=1,4.4/5
Stainless Steel Noodle And Pasta Maker Machine With Plastic Handle Nimko Kitchen Accessories Press Nimco Snack Maker Stainless Steel with 5 blades,"1,799",,//www.daraz.pk/products/5-i436045003-s2094303389.html?search=1,4.4/5
New Swimming Silicone Nose Clip With Ear Plugs – Random Color,173,Rs. 499,//www.daraz.pk/products/-i234876936-s2396898725.html?search=1,4.3/5
"Swimming Cap For Kids Silicone Fun Swim Caps for Swimmers, Waterproof Swim Hat Cap Men Women Water Proof Ear Protection Bathing Silicone Cap Swimming Pool Hat Swimmers Long Hair Cap",399,Rs. 599,//www.daraz.pk/products/swimming-cap-for-kids-silicone-fun-swim-caps-for-swimmers-waterproof-swim-hat-cap-men-women-water-proof-ear-protection-bathing-silicone-cap-swimming-pool-hat-swimmers-long-hair-cap-i279087370-s1503372209.html?search=1,4.7/5
swimming nose clip ear plug swimming water pool accessories,199,,//www.daraz.pk/products/-i466053574-s2203573057.html?search=1,4.1/5
Swimming Cap Speedo Silicone Solid Swim Cap For Swimming Pools Swim Caps Swim Hat For Adults Long Hair Comfortable Fit,349,Rs. 499,//www.daraz.pk/products/swimming-cap-speedo-silicone-solid-swim-cap-for-swimming-pools-swim-caps-swim-hat-for-adults-long-hair-comfortable-fit-i293683664-s1583507401.html?search=1,4.4/5
20Pcs Silicone Ear Plugs Anti Noise Earplugs Comfortable For Study Sleep,377,Rs. 553,//www.daraz.pk/products/20-i274023933-s1487364165.html?search=1,4.4/5
Transparent Lightweight Anti Glare UV Eyeglasses For Men and Women White Glasses for Boys and Girls,229,Rs. 499,//www.daraz.pk/products/uv-i461939083-s2186536023.html?search=1,3.9/5
Eldorado Anti Blue Light Proof Radiation Computer Glasses Women Men Fashion Eye Protection Oval Full Rim Eyewear,196,Rs. 799,//www.daraz.pk/products/-i433579488-s2203666825.html?search=1,4.4/5
Ins Trend Unisex Metal Anti-blue Light Glasses Transparent Oval Frame Sunglasses UV400 Protection Flat Mirror Eyeglasses Eyewear,247,Rs. 400,//www.daraz.pk/products/uv400-i469003089-s2214773347.html?search=1,4.4/5
Korean Style Original Transparent Square Frame Glasses for Men - Women Clear Lens Glasses Anti Blue Frame Spectacles For Men And Women,219,Rs. 499,//www.daraz.pk/products/-i461927335-s2186512676.html?search=1,4.5/5
Women Classic Retro Square Leopard Print Sunglasses / Men Fashion Rectangular Sun Glasses / Vintage Square Sun Glasses,203,Rs. 499,//www.daraz.pk/products/-i461806216-s2186381066.html?search=1,4.7/5
Hand bags for girls with Stylish Golden chain And Long strap,692,Rs. 699,//www.daraz.pk/products/-i430012403-s2186536733.html?search=1,4.4/5
2023  Mini Buket Bags For Girls Cross Body Shoulder Bag  Long Shoulder  Strap,448,,//www.daraz.pk/products/-i437213443-s2403899451.html?search=1,4.3/5
Handbag for girls Leather Bag for women Shoulder bags for ladies casual handbag Phone pouch Crossbody & Shoulder bag for gift Purse for girls,985,"Rs. 1,899",//www.daraz.pk/products/handbag-for-girls-leather-bag-for-women-shoulder-bags-for-ladies-casual-handbag-phone-pouch-crossbody-shoulder-bag-for-gift-purse-for-girls-i457612915-s2166677374.html?search=1,4.3/5
SIGMA Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,595,"Rs. 1,300",//www.daraz.pk/products/-i429153141-s2256435479.html?search=1,4.7/5
2023  New Fashion Female Shoulder Bag Rhombus Embroidred solid.,589,,//www.daraz.pk/products/2023-i438906297-s2402100003.html?search=1,4.1/5
